word,2009_freq,2010_freq,2011_freq,2012_freq,2013_freq,2014_freq,2015_freq,2016_freq,2017_freq,2018_freq
reliable,11.0,18.0,17.0,20.0,18.0,16.0,21.0,22.0,21.0,36.0
stable,11.0,22.0,18.0,16.0,21.0,19.0,19.0,3.0,11.0,24.0
biological,11.0,16.0,6.0,7.0,7.0,12.0,7.0,4.0,2.0,6.0
engine,11.0,5.0,14.0,18.0,14.0,7.0,11.0,10.0,11.0,19.0
visual,11.0,13.0,18.0,20.0,18.0,23.0,44.0,76.0,98.0,198.0
symbolic,11.0,12.0,14.0,15.0,7.0,9.0,7.0,17.0,11.0,18.0
international,11.0,16.0,18.0,9.0,15.0,15.0,12.0,16.0,7.0,15.0
video,11.0,25.0,30.0,32.0,41.0,43.0,89.0,84.0,106.0,200.0
plan,11.0,14.0,59.0,34.0,45.0,38.0,26.0,49.0,36.0,85.0
positive,11.0,11.0,6.0,8.0,8.0,10.0,6.0,9.0,7.0,16.0
intrusion,11.0,16.0,9.0,11.0,6.0,12.0,1.0,3.0,4.0,12.0
activity,11.0,6.0,10.0,16.0,15.0,14.0,19.0,26.0,37.0,56.0
better,11.0,11.0,15.0,11.0,7.0,10.0,10.0,11.0,11.0,25.0
pass,11.0,7.0,13.0,10.0,9.0,13.0,11.0,11.0,7.0,12.0
rational,11.0,11.0,6.0,7.0,11.0,10.0,6.0,9.0,7.0,11.0
adaptation,11.0,11.0,8.0,17.0,21.0,13.0,10.0,30.0,27.0,60.0
manipulator,11.0,8.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,8.0
integer,11.0,19.0,18.0,21.0,13.0,18.0,14.0,8.0,10.0,16.0
clique,11.0,3.0,7.0,9.0,11.0,13.0,7.0,6.0,2.0,10.0
update,11.0,11.0,9.0,9.0,15.0,13.0,5.0,14.0,6.0,23.0
comment,11.0,7.0,3.0,7.0,2.0,5.0,3.0,5.0,,6.0
expression,11.0,17.0,22.0,16.0,22.0,15.0,23.0,16.0,13.0,29.0
trace,11.0,13.0,15.0,10.0,10.0,11.0,12.0,14.0,12.0,18.0
compact,11.0,5.0,4.0,10.0,9.0,12.0,9.0,13.0,13.0,24.0
decentralize,11.0,14.0,18.0,21.0,21.0,14.0,9.0,17.0,14.0,35.0
bite,11.0,12.0,12.0,7.0,9.0,7.0,5.0,11.0,4.0,5.0
event,11.0,21.0,17.0,27.0,28.0,18.0,29.0,32.0,41.0,64.0
factor,11.0,20.0,21.0,29.0,18.0,16.0,16.0,21.0,23.0,36.0
fractal,11.0,2.0,3.0,6.0,6.0,6.0,8.0,7.0,,2.0
guarantee,10.0,7.0,16.0,14.0,14.0,16.0,17.0,18.0,21.0,27.0
load,10.0,11.0,11.0,18.0,20.0,24.0,14.0,15.0,16.0,30.0
composition,10.0,6.0,13.0,11.0,18.0,17.0,14.0,11.0,15.0,22.0
challenge,10.0,17.0,20.0,22.0,29.0,32.0,32.0,42.0,43.0,114.0
ring,10.0,7.0,7.0,11.0,8.0,16.0,5.0,9.0,9.0,18.0
weak,10.0,16.0,12.0,18.0,13.0,11.0,16.0,24.0,26.0,46.0
first,10.0,18.0,13.0,16.0,16.0,12.0,8.0,12.0,11.0,23.0
functional,10.0,16.0,18.0,25.0,18.0,14.0,14.0,18.0,13.0,28.0
gap,10.0,13.0,13.0,7.0,17.0,7.0,7.0,9.0,8.0,16.0
intelligent,10.0,13.0,20.0,18.0,14.0,10.0,13.0,6.0,18.0,34.0
loop,10.0,5.0,7.0,6.0,6.0,13.0,8.0,4.0,9.0,20.0
monitor,10.0,17.0,23.0,15.0,29.0,22.0,18.0,29.0,25.0,48.0
experience,10.0,9.0,7.0,6.0,14.0,14.0,11.0,8.0,10.0,24.0
review,10.0,11.0,16.0,34.0,21.0,39.0,32.0,45.0,37.0,68.0
receiver,10.0,14.0,11.0,11.0,15.0,16.0,11.0,10.0,10.0,15.0
sit,10.0,10.0,15.0,12.0,13.0,10.0,9.0,6.0,4.0,8.0
termination,10.0,11.0,5.0,8.0,5.0,4.0,4.0,3.0,1.0,2.0
freedom,10.0,11.0,26.0,17.0,15.0,13.0,8.0,9.0,3.0,4.0
exchange,10.0,11.0,12.0,17.0,7.0,15.0,10.0,9.0,3.0,15.0
maximize,10.0,7.0,9.0,7.0,8.0,10.0,8.0,12.0,8.0,17.0
manage,10.0,6.0,3.0,7.0,12.0,4.0,11.0,4.0,3.0,4.0
double,10.0,11.0,12.0,11.0,7.0,13.0,16.0,13.0,10.0,16.0
feasible,10.0,6.0,9.0,12.0,6.0,5.0,11.0,6.0,9.0,13.0
unit,10.0,10.0,12.0,10.0,10.0,11.0,12.0,19.0,21.0,37.0
characteristic,10.0,16.0,8.0,10.0,12.0,6.0,10.0,9.0,6.0,11.0
construct,10.0,7.0,13.0,5.0,12.0,7.0,8.0,7.0,9.0,14.0
orient,10.0,19.0,6.0,10.0,8.0,7.0,5.0,4.0,4.0,11.0
separation,10.0,13.0,15.0,13.0,12.0,11.0,11.0,20.0,18.0,29.0
diffusion,10.0,8.0,18.0,25.0,28.0,18.0,24.0,13.0,16.0,25.0
evolution,10.0,16.0,33.0,22.0,32.0,23.0,23.0,20.0,26.0,39.0
category,10.0,4.0,8.0,6.0,2.0,9.0,10.0,6.0,7.0,12.0
free,10.0,14.0,20.0,12.0,11.0,14.0,12.0,13.0,13.0,24.0
experimental,10.0,15.0,14.0,11.0,10.0,11.0,12.0,11.0,11.0,16.0
explicit,10.0,14.0,11.0,9.0,8.0,6.0,14.0,7.0,6.0,21.0
signature,10.0,10.0,13.0,5.0,14.0,8.0,7.0,11.0,8.0,16.0
phase,10.0,18.0,16.0,15.0,32.0,24.0,18.0,28.0,18.0,39.0
paper,10.0,13.0,11.0,15.0,7.0,12.0,10.0,11.0,6.0,9.0
aspect,10.0,10.0,18.0,15.0,7.0,14.0,7.0,13.0,10.0,17.0
scenario,10.0,7.0,8.0,10.0,9.0,14.0,9.0,11.0,17.0,23.0
instruction,10.0,4.0,1.0,4.0,7.0,2.0,3.0,3.0,3.0,15.0
synthesis,10.0,22.0,24.0,29.0,11.0,29.0,23.0,41.0,45.0,75.0
population,10.0,6.0,11.0,9.0,6.0,8.0,8.0,3.0,11.0,22.0
dictionary,10.0,15.0,16.0,13.0,17.0,19.0,23.0,16.0,16.0,22.0
