,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,sum
Visual,8,11,16,18,14,19,35,69,83,93,366
Radio,36,46,38,31,35,50,43,47,22,16,364
Object,12,13,22,18,14,35,57,57,62,74,364
Images,15,34,23,24,14,32,37,54,69,61,363
Methods,16,25,46,40,43,46,36,30,45,36,363
Cooperative,45,46,41,38,41,32,31,33,26,30,363
for,23,36,43,33,38,35,42,41,44,25,360
approach,36,40,36,49,47,30,33,32,32,25,360
Matching,16,26,46,32,41,45,37,40,44,30,357
Case,36,35,59,24,43,35,28,39,34,20,353
codes,42,39,35,24,32,26,52,35,37,27,349
Feature,15,23,31,35,28,38,44,40,43,52,349
Automatic,18,24,27,34,38,30,25,49,58,46,349
Computation,29,40,37,48,34,35,34,41,22,26,346
model,39,38,33,37,33,40,39,31,30,25,345
Generalized,23,38,54,38,38,50,30,34,26,14,345
Functions,40,38,35,36,48,36,34,28,29,19,343
Feedback,47,39,44,31,38,36,40,27,21,14,337
Constraints,43,40,41,34,35,27,33,26,37,21,337
How,34,26,25,31,28,39,32,39,33,45,332
Markov,27,33,34,45,47,36,31,28,25,26,332
Representation,18,23,29,25,31,27,40,39,51,45,328
learning,10,13,17,21,29,20,26,57,55,78,326
Mining,20,48,36,42,32,28,35,27,25,32,325
Set,29,44,49,27,48,22,33,30,20,22,324
Rate,43,45,42,28,39,28,33,22,26,17,323
Scheme,31,57,35,42,38,32,22,21,22,23,323
Transmission,37,50,30,38,32,28,33,35,22,17,322
Finite,27,44,39,37,40,33,33,26,29,13,321
Decision,23,36,37,38,60,23,21,31,24,28,321
Processing,25,25,20,30,34,32,35,46,41,33,321
State,32,32,39,27,38,36,24,27,37,27,319
Novel,19,26,39,55,35,45,26,29,19,24,317
Protocol,35,63,43,56,34,34,15,10,11,16,317
Structure,28,27,39,31,34,27,36,34,30,30,316
Networks:,15,24,30,28,31,37,41,38,40,31,315
Decoding,42,52,55,34,31,27,24,16,22,11,314
Approximate,18,27,30,38,42,47,31,30,27,23,313
network,39,34,31,38,21,28,31,33,33,23,311
User,12,29,28,30,31,47,36,30,37,29,309
Resource,16,23,42,36,26,36,30,34,35,29,307
Retrieval,19,31,28,23,21,36,29,39,38,42,306
Inference,15,20,29,53,50,20,15,22,41,40,305
Tree,23,48,27,34,27,37,33,32,23,18,302
Techniques,32,33,25,40,35,38,30,23,23,23,302
between,33,36,30,32,29,35,24,29,27,26,301
Sampling,27,19,27,33,22,35,39,33,42,24,301
Architecture,21,32,27,34,26,28,25,31,39,37,300
Heterogeneous,17,12,30,37,20,39,33,49,31,31,299
From,23,24,26,34,29,34,29,38,37,24,298
Human,13,27,17,19,27,22,33,36,49,55,298
Space,24,15,28,33,27,40,42,30,25,33,297
Testing,22,39,39,34,33,29,20,30,28,23,297
Implementation,28,53,35,36,24,22,40,24,18,17,297
Hierarchical,11,18,31,29,22,23,36,47,38,41,296
Temporal,12,27,26,28,27,27,35,36,39,38,295
Improving,13,25,29,28,33,21,17,36,44,49,295
Automata,26,42,40,43,28,38,24,27,16,10,294
Text,6,21,12,22,24,22,22,43,51,68,291
:,18,40,17,43,32,26,24,32,29,29,290
Privacy,16,22,32,38,22,28,34,30,39,29,290
its,27,42,37,30,32,21,23,27,26,18,283
problem,31,24,36,35,32,36,30,26,22,11,283
Communications,19,23,20,26,26,27,41,31,44,22,279
Spectrum,22,41,33,41,34,29,29,24,12,13,278
Tracking,7,17,17,23,22,32,35,40,49,36,278
Memory,14,26,26,20,23,30,24,41,27,46,277
Distance,23,41,27,31,38,35,22,27,12,19,275
Quantum,60,38,33,18,26,27,26,15,15,14,272
General,22,36,30,37,31,33,20,27,15,20,271
Game,27,32,23,31,24,20,32,29,32,20,270
Binary,27,29,38,26,27,29,25,24,26,19,270
Adversarial,1,3,2,3,4,3,1,23,93,137,270
High,30,28,30,19,20,34,36,28,25,19,269
complexity,27,32,34,38,34,27,29,21,15,10,267
Reinforcement,3,10,15,18,16,5,23,32,50,94,266
Error,28,30,38,38,19,19,23,25,20,24,264
Simple,22,33,31,35,24,23,31,17,19,26,261
Digital,27,75,29,18,22,28,20,12,20,10,261
algorithms,37,21,22,39,24,35,21,31,14,17,261
Statistical,30,33,26,32,26,31,23,19,28,13,261
Training,13,12,16,6,11,16,35,32,50,69,260
