,year,number,name
,2009,26,resource
,2010,43,resource
,2011,52,resource
,2012,49,resource
,2013,38,resource
,2014,44,resource
,2015,43,resource
,2016,45,resource
,2017,43,resource
,2018,41,resource
,2009,32,allocation
,2010,46,allocation
,2011,59,allocation
,2012,55,allocation
,2013,44,allocation
,2014,64,allocation
,2015,45,allocation
,2016,54,allocation
,2017,47,allocation
,2018,29,allocation
,2009,74,power
,2010,88,power
,2011,84,power
,2012,83,power
,2013,92,power
,2014,107,power
,2015,94,power
,2016,85,power
,2017,89,power
,2018,73,power
